Original_Text,Formatted_Date,Generated_Full_Response,Extracted_Key_Response,Category
victoria announces series of vaccinated economy trials,26 September 2021,"26 September 2021 - victoria announces series of vaccinated economy trials
Victoria’s economy is about to be boosted by a series of innovative trials involving vaccine passports for international arrivals, sports stadiums and nightclubs.
Premier Daniel Andrews announced on Friday the trials, which will test and pilot the feasibility of using a digital vaccination record to enter events and venues.
There will be three trials:
An international arrivals trial involving a digital vaccination certificate system that would be available to the general public;
A trial involving the use of vaccine passports to enter sports stadiums and entertainment venues; and
A trial of the use of digital vaccination certificates at nightclubs.
“Victoria’s economy will be significantly boosted as soon as these trials are able to commence,” Mr Andrews said.
“These innovative trials will test and pilot the feasibility of using a digital vaccination record to enter events and venues, as we continue to learn more about how best to support our economy, while protecting the health of Victorians.”
The international arrivals trial will be led by the Department of Health and Human Services, and will include an online platform","
Victoria’s economy is about to be boosted by a series of innovative trials involving vaccine passports for international arrivals, sports stadiums and nightclubs.
Premier Daniel Andrews announced on Friday the trials, which will test and pilot the feasibility of using a digital vaccination record to enter events and venues.
There will be three trials:
An international arrivals trial involving a digital vaccination certificate system that would be available to the general public;
A trial involving the use of vaccine passports to enter sports stadiums and entertainment venues; and
A trial of the use of digital vaccination certificates at nightclubs.
“Victoria’s economy will be significantly boosted as soon as these trials are able to commence,” Mr Andrews said.
“These innovative trials will test and pilot the feasibility of using a digital vaccination record to enter events and venues, as we continue to learn more about how best to support our economy, while protecting the health of Victorians.”
The international arrivals trial will be led by the Department of Health and Human Services, and will include an online platform",Economy
huon aquaculture enters wa market with processing facility,23 January 2021,"23 January 2021 - huon aquaculture enters wa market with processing facility at wendy park
Huon Aquaculture enters WA market with processing facility at Wendy Park
WA’s first salmon and trout processing facility has opened in Karratha’s Wendy Park as part of Huon Aquaculture’s growth strategy in Western Australia.
The new state-of-the-art facility has the capacity to process more than 12,000 tonnes of WA’s premium salmon and trout annually.
Karratha Mayor Peter Long said Huon’s investment in WA demonstrates confidence in the State’s resources industry, particularly in the region.
“This is a great example of private enterprise in our State working with the resources industry to deliver jobs and skills opportunities to the region and beyond,” he said.
Huon Aquaculture General Manager Greg O’Neill said the investment in Karratha is the latest in a series of new processing facilities that have been established in locations across the country, supporting the company’s ambitious growth strategy.
“We are excited to be in WA with the first premium fish processing facility and"," at wendy park
Huon Aquaculture enters WA market with processing facility at Wendy Park
WA’s first salmon and trout processing facility has opened in Karratha’s Wendy Park as part of Huon Aquaculture’s growth strategy in Western Australia.
The new state-of-the-art facility has the capacity to process more than 12,000 tonnes of WA’s premium salmon and trout annually.
Karratha Mayor Peter Long said Huon’s investment in WA demonstrates confidence in the State’s resources industry, particularly in the region.
“This is a great example of private enterprise in our State working with the resources industry to deliver jobs and skills opportunities to the region and beyond,” he said.
Huon Aquaculture General Manager Greg O’Neill said the investment in Karratha is the latest in a series of new processing facilities that have been established in locations across the country, supporting the company’s ambitious growth strategy.
“We are excited to be in WA with the first premium fish processing facility and",Economy
asx slip wall street tech stocks rebound,23 March 2021,"23 March 2021 - asx slip wall street tech stocks rebound - The 2nd day of trading after Wall Street plunged, the American tech stock fell sharply.
Asx Slip Wall Street Tech Stocks Rebound - The 2nd day of trading after Wall Street plunged, the American tech stock fell sharply.
Asx Slip Wall Street Tech Stocks Rebound
Asx Slip Wall Street Tech Stocks Rebound - The 2nd day of trading after Wall Street plunged, the American tech stock fell sharply.
Wall Street plunged again
Asx Slip Wall Street Tech Stocks Rebound - The 2nd day of trading after Wall Street plunged, the American tech stock fell sharply.
Asx Slip Wall Street Tech Stocks Rebound
The US stock market opened higher on Monday, March 22, 2021, but plunged at noon, closing with losses of 1.9%. This is the worst drop in the history of the American market since the 2020 pandemic began. The Dow Jones fell 0.6%, the S&P 500 fell 1"," - The 2nd day of trading after Wall Street plunged, the American tech stock fell sharply.
Asx Slip Wall Street Tech Stocks Rebound - The 2nd day of trading after Wall Street plunged, the American tech stock fell sharply.
Asx Slip Wall Street Tech Stocks Rebound
Asx Slip Wall Street Tech Stocks Rebound - The 2nd day of trading after Wall Street plunged, the American tech stock fell sharply.
Wall Street plunged again
Asx Slip Wall Street Tech Stocks Rebound - The 2nd day of trading after Wall Street plunged, the American tech stock fell sharply.
Asx Slip Wall Street Tech Stocks Rebound
The US stock market opened higher on Monday, March 22, 2021, but plunged at noon, closing with losses of 1.9%. This is the worst drop in the history of the American market since the 2020 pandemic began. The Dow Jones fell 0.6%, the S&P 500 fell 1",Economy
australian farmers find new markets after china,18 May 2021,"18 May 2021 - australian farmers find new markets after china bans Australian produce
Chinese President Xi Jinping (C) and Australian Prime Minister Scott Morrison (R) speak to the media during a joint news conference in Sydney on November 16, 2014. [Xinhua/Zhang Yuwei]
The global supply chain has been turned on its head by a recent decision by China to ban a raft of Australian products, from beef to barley, as tensions between the two countries have continued to escalate.
Australian farmers have been hit hard by the ban, which is expected to cost the Australian agriculture sector $A1 billion in exports over the next 12 months. 
Since January, Australia has lost nearly $1 billion of trade with China, according to analysis from the Australian National University’s Centre for Chinese Studies.
And the impact of the loss of the major market could be felt for years to come.
“Not just in the short term, but longer term it will be a challenge for Australian farmers to build up markets,” Dr Daniel Flitton, a"," bans Australian produce
Chinese President Xi Jinping (C) and Australian Prime Minister Scott Morrison (R) speak to the media during a joint news conference in Sydney on November 16, 2014. [Xinhua/Zhang Yuwei]
The global supply chain has been turned on its head by a recent decision by China to ban a raft of Australian products, from beef to barley, as tensions between the two countries have continued to escalate.
Australian farmers have been hit hard by the ban, which is expected to cost the Australian agriculture sector $A1 billion in exports over the next 12 months. 
Since January, Australia has lost nearly $1 billion of trade with China, according to analysis from the Australian National University’s Centre for Chinese Studies.
And the impact of the loss of the major market could be felt for years to come.
“Not just in the short term, but longer term it will be a challenge for Australian farmers to build up markets,” Dr Daniel Flitton, a",Economy
no signs of hobart housing market cooling down experts say,02 March 2021,"02 March 2021 - no signs of hobart housing market cooling down experts say - The Age - Hobart's booming property market shows no signs of slowing down with experts saying it is ""definitely not over-heating"".
Hobart’s booming property market shows no signs of slowing down with experts saying it is “definitely not over-heating”.
The median house price in Hobart hit $520,000 in February, a record, while rents have surged by 3 per cent and land sales are up 15 per cent from last year.
According to the Real Estate Institute of Tasmania, there were 1186 house sales in the last quarter, up 13 per cent from the previous quarter and a 10 per cent jump from the same period last year.
The median house price in Hobart has risen by more than $80,000 in the past year and the average price for a rental property has increased from $420 to $440 per week.
The market is being fuelled by a “perfect storm” of low interest rates, low stock and demand,"," - The Age - Hobart's booming property market shows no signs of slowing down with experts saying it is ""definitely not over-heating"".
Hobart’s booming property market shows no signs of slowing down with experts saying it is “definitely not over-heating”.
The median house price in Hobart hit $520,000 in February, a record, while rents have surged by 3 per cent and land sales are up 15 per cent from last year.
According to the Real Estate Institute of Tasmania, there were 1186 house sales in the last quarter, up 13 per cent from the previous quarter and a 10 per cent jump from the same period last year.
The median house price in Hobart has risen by more than $80,000 in the past year and the average price for a rental property has increased from $420 to $440 per week.
The market is being fuelled by a “perfect storm” of low interest rates, low stock and demand,",Economy
newcastle coal exports continue to new markets amid china ban,15 January 2021,"15 January 2021 - newcastle coal exports continue to new markets amid china ban
13 January 2021 - cokering market continues to move up
13 January 2021 - coal prices fall
06 January 2021 - newcastle coal market stabilizes, but exports to china remain suspended
05 January 2021 - the price of coking coal is still rising
04 January 2021 - the prices of coal, coke and coke are still stable
04 January 2021 - coal prices continue to rise
31 December 2020 - coal prices are stable
30 December 2020 - newcastle coal market is still active, exports to china are suspended
22 December 2020 - coal prices have rebounded slightly
19 December 2020 - newcastle coal market still active, exports to china suspended
17 December 2020 - coal prices continue to rise
15 December 2020 - coking coal market remains stable
12 December 2020 - coking coal market remains stable
11 December 2020 - newcastle","
13 January 2021 - cokering market continues to move up
13 January 2021 - coal prices fall
06 January 2021 - newcastle coal market stabilizes, but exports to china remain suspended
05 January 2021 - the price of coking coal is still rising
04 January 2021 - the prices of coal, coke and coke are still stable
04 January 2021 - coal prices continue to rise
31 December 2020 - coal prices are stable
30 December 2020 - newcastle coal market is still active, exports to china are suspended
22 December 2020 - coal prices have rebounded slightly
19 December 2020 - newcastle coal market still active, exports to china suspended
17 December 2020 - coal prices continue to rise
15 December 2020 - coking coal market remains stable
12 December 2020 - coking coal market remains stable
11 December 2020 - newcastle",Economy
australias economy posts its third biggest fall on,01 December 2021,"01 December 2021 - australias economy posts its third biggest fall on record
australias economy posts its third biggest fall on record
australia economy posts its third biggest fall on record
Aussie economy posts its third biggest fall on record
Aussie economy posts its third biggest fall on record
Aussie economy posts its third biggest fall on record
Aussie economy posts its third biggest fall on record
Australian economy posts its third biggest fall on record
The Australian economy has fallen by more than 1.5% in the three months to September, according to the national accounts released on Tuesday. It’s the biggest quarterly drop since the 1.6% fall recorded in the June quarter of 2020 during the early stages of the COVID-19 pandemic. The economy fell 2.8% over the year, while the annual pace of economic growth picked up from a 0.7% annual growth rate in the June quarter to 2.3% in the September quarter. The economy fell 2.8"," record
australias economy posts its third biggest fall on record
australia economy posts its third biggest fall on record
Aussie economy posts its third biggest fall on record
Aussie economy posts its third biggest fall on record
Aussie economy posts its third biggest fall on record
Aussie economy posts its third biggest fall on record
Australian economy posts its third biggest fall on record
The Australian economy has fallen by more than 1.5% in the three months to September, according to the national accounts released on Tuesday. It’s the biggest quarterly drop since the 1.6% fall recorded in the June quarter of 2020 during the early stages of the COVID-19 pandemic. The economy fell 2.8% over the year, while the annual pace of economic growth picked up from a 0.7% annual growth rate in the June quarter to 2.3% in the September quarter. The economy fell 2.8",Economy
dow record asx travel stocks rise,11 March 2021,"11 March 2021 - dow record asx travel stocks rise
The S&P/ASX 200 index closed up 1.7% at 7,105.2 on 11 March 2021. The broader All Ordinaries index closed up 1.7% at 7,304.8. It was a strong day on the ASX, with all sectors ending in positive territory.
The market shrugged off the lack of any new economic data overnight. The US economy is in focus for the coming days as the Federal Reserve's two-day policy meeting kicks off tomorrow. The US stock futures were positive before the open, but the market closed flat. The 10-year US treasury yield was little changed at 1.58%.
The Australian dollar was little changed, with the Aussie at US$0.7730. The euro is at $1.1815, down from $1.1924 yesterday.
Citi has upgraded its view on travel stocks. It says the outlook for these shares is bright. Citi analysts","
The S&P/ASX 200 index closed up 1.7% at 7,105.2 on 11 March 2021. The broader All Ordinaries index closed up 1.7% at 7,304.8. It was a strong day on the ASX, with all sectors ending in positive territory.
The market shrugged off the lack of any new economic data overnight. The US economy is in focus for the coming days as the Federal Reserve's two-day policy meeting kicks off tomorrow. The US stock futures were positive before the open, but the market closed flat. The 10-year US treasury yield was little changed at 1.58%.
The Australian dollar was little changed, with the Aussie at US$0.7730. The euro is at $1.1815, down from $1.1924 yesterday.
Citi has upgraded its view on travel stocks. It says the outlook for these shares is bright. Citi analysts",Economy
us markets high aud dollar nine southern cross,12 March 2021,"12 March 2021 - us markets high aud dollar nine southern cross
Southern Cross - March 12, 2021
The US dollar has traded mixed against its main rivals, with the greenback extending its gains against the Australian dollar but falling against the Japanese yen and the euro. US Treasury Secretary Janet Yellen’s congressional testimony yesterday sent the US dollar index up to an all-time high. Yellen said the US should “lead the world in the post-pandemic economic recovery.” The US dollar index closed at 92.85, down 0.02% on the day, while the Australian dollar index rose 0.18% to 0.7323. Gold prices rose 0.13% to $1786.10 per ounce. Oil prices rose 1.33% to $64.25 per barrel. The euro rose 0.05% to $1.1904, the Japanese yen fell 0.10% to 106.57, and the British pound rose 0.12% to $1","
Southern Cross - March 12, 2021
The US dollar has traded mixed against its main rivals, with the greenback extending its gains against the Australian dollar but falling against the Japanese yen and the euro. US Treasury Secretary Janet Yellen’s congressional testimony yesterday sent the US dollar index up to an all-time high. Yellen said the US should “lead the world in the post-pandemic economic recovery.” The US dollar index closed at 92.85, down 0.02% on the day, while the Australian dollar index rose 0.18% to 0.7323. Gold prices rose 0.13% to $1786.10 per ounce. Oil prices rose 1.33% to $64.25 per barrel. The euro rose 0.05% to $1.1904, the Japanese yen fell 0.10% to 106.57, and the British pound rose 0.12% to $1",Economy
biden says economy growing too unevenly after,23 January 2021,"23 January 2021 - biden says economy growing too unevenly after historic job creation
23 January 2021 - cdc: 30-49 year olds most likely to get virus, white women hit hardest
22 January 2021 - more people vaccinated against covid-19 than in the entire flu season last year
22 January 2021 - 5.3 million vaccinated in the u.s.
21 January 2021 - 4 million vaccinated in the u.s.
21 January 2021 - u.s. reports 3,800 new covid-19 deaths, but the number likely underestimated
21 January 2021 - 10 million people vaccinated in the u.s.
20 January 2021 - more than 5 million people vaccinated in the u.s.
20 January 2021 - cdc director says 10 million people vaccinated by january 26
19 January 2021 - 3 million people vaccinated in the u.s.
19 January 2021 - 2 million people vaccinated in the u.s.
18 January "," historic job creation
23 January 2021 - cdc: 30-49 year olds most likely to get virus, white women hit hardest
22 January 2021 - more people vaccinated against covid-19 than in the entire flu season last year
22 January 2021 - 5.3 million vaccinated in the u.s.
21 January 2021 - 4 million vaccinated in the u.s.
21 January 2021 - u.s. reports 3,800 new covid-19 deaths, but the number likely underestimated
21 January 2021 - 10 million people vaccinated in the u.s.
20 January 2021 - more than 5 million people vaccinated in the u.s.
20 January 2021 - cdc director says 10 million people vaccinated by january 26
19 January 2021 - 3 million people vaccinated in the u.s.
19 January 2021 - 2 million people vaccinated in the u.s.
18 January ",Economy
