Original_Text,Formatted_Date,Generated_Full_Response,Extracted_Key_Response,Category
gps call for new covid vaccine information campaign,29 June 2021,"29 June 2021 - gps call for new covid vaccine information campaign
29 June 2021 - New vaccine safety information from the Medicines and Healthcare products Regulatory Agency (MHRA) and the Joint Committee on Vaccination and Immunisation (JCVI) have been shared on the Gov.uk website in a new COVID-19 vaccination information campaign.
The new campaign aims to provide further reassurance to people who are currently on the waiting list to be offered a COVID-19 vaccine or those who have already had their vaccination, and provides important information to help reassure them.
People have also raised concerns about the COVID-19 vaccine and how it will affect the body. The campaign highlights that the COVID-19 vaccine has been extensively tested and there are no safety concerns about having the COVID-19 vaccine that could affect your future fertility.
This new campaign aims to reassure people who have not yet had a COVID-19 vaccine and provide reassurance about the COVID-19 vaccine. This includes information about the vaccines we have and the protection they provide against COVID-19.
It","
29 June 2021 - New vaccine safety information from the Medicines and Healthcare products Regulatory Agency (MHRA) and the Joint Committee on Vaccination and Immunisation (JCVI) have been shared on the Gov.uk website in a new COVID-19 vaccination information campaign.
The new campaign aims to provide further reassurance to people who are currently on the waiting list to be offered a COVID-19 vaccine or those who have already had their vaccination, and provides important information to help reassure them.
People have also raised concerns about the COVID-19 vaccine and how it will affect the body. The campaign highlights that the COVID-19 vaccine has been extensively tested and there are no safety concerns about having the COVID-19 vaccine that could affect your future fertility.
This new campaign aims to reassure people who have not yet had a COVID-19 vaccine and provide reassurance about the COVID-19 vaccine. This includes information about the vaccines we have and the protection they provide against COVID-19.
It",Health
coronavirus sweden banning masks,10 February 2021,"10 February 2021 - coronavirus sweden banning masks
The Swedish government has announced that people are no longer required to wear face masks in indoor public spaces, including on public transport.
The announcement, made by Prime Minister Stefan Lofven on 9 February 2021, applies to Sweden, which has avoided strict lockdowns and social distancing rules. 
The move has been widely welcomed by Swedes, who have been forced to comply with mask rules for more than a year. However, the lifting of the face mask requirement is being seen as a gamble by some.
“It’s a risky decision,” says Fredrik Björling, professor of public health at Umeå University.
“We’re still in the middle of a pandemic, and the risk of becoming infected is still high. It’s not the time to take away all the restrictions,” he adds. 
However, Björling says the lifting of the mask rule is based on “good data and good arguments” that mask rules are not effective in preventing the spread of COVID-","
The Swedish government has announced that people are no longer required to wear face masks in indoor public spaces, including on public transport.
The announcement, made by Prime Minister Stefan Lofven on 9 February 2021, applies to Sweden, which has avoided strict lockdowns and social distancing rules. 
The move has been widely welcomed by Swedes, who have been forced to comply with mask rules for more than a year. However, the lifting of the face mask requirement is being seen as a gamble by some.
“It’s a risky decision,” says Fredrik Björling, professor of public health at Umeå University.
“We’re still in the middle of a pandemic, and the risk of becoming infected is still high. It’s not the time to take away all the restrictions,” he adds. 
However, Björling says the lifting of the mask rule is based on “good data and good arguments” that mask rules are not effective in preventing the spread of COVID-",Health
nurse first in queensland to get astrazeneca covid 19 vaccine,08 March 2021,"08 March 2021 - nurse first in queensland to get astrazeneca covid 19 vaccine today
Nurses in Brisbane have become the first in Queensland to receive the AstraZeneca Covid-19 vaccine today.
More than 10,000 health care workers, including nurses and doctors from 28 public and private hospitals across Queensland, received the AstraZeneca jab.
The first hospital to administer the vaccine to its health care workers was Mater Hospital in Brisbane, which was followed by other hospitals in Brisbane, the Gold Coast and Ipswich.
Queensland Health Minister Steven Miles said the rollout was an important milestone in Queensland’s vaccination program.
“This is the first time a COVID-19 vaccine has been rolled out to health care workers in Queensland,” he said.
“This is an important milestone in Queensland’s COVID-19 vaccination program and is part of the national rollout.”
He said the health workers were vaccinated at hospital sites as a precautionary measure, but said it was also an important part of the community.
“They are a vital part of our health care workforce and we are prioritising their"," today
Nurses in Brisbane have become the first in Queensland to receive the AstraZeneca Covid-19 vaccine today.
More than 10,000 health care workers, including nurses and doctors from 28 public and private hospitals across Queensland, received the AstraZeneca jab.
The first hospital to administer the vaccine to its health care workers was Mater Hospital in Brisbane, which was followed by other hospitals in Brisbane, the Gold Coast and Ipswich.
Queensland Health Minister Steven Miles said the rollout was an important milestone in Queensland’s vaccination program.
“This is the first time a COVID-19 vaccine has been rolled out to health care workers in Queensland,” he said.
“This is an important milestone in Queensland’s COVID-19 vaccination program and is part of the national rollout.”
He said the health workers were vaccinated at hospital sites as a precautionary measure, but said it was also an important part of the community.
“They are a vital part of our health care workforce and we are prioritising their",Health
businesses warn covid confusion during lockdowns,29 June 2021,"29 June 2021 - businesses warn covid confusion during lockdowns is a key barrier to recovery
Businesses in the food and drink industry have raised serious concerns that the Government's inconsistent messaging on lockdown rules, the lack of support, and a failure to properly communicate what changes to restrictions were needed and when, have prevented them from making a full and fast recovery."," is a key barrier to recovery
Businesses in the food and drink industry have raised serious concerns that the Government's inconsistent messaging on lockdown rules, the lack of support, and a failure to properly communicate what changes to restrictions were needed and when, have prevented them from making a full and fast recovery.",Health
victoria records zero new coronavirus cases,07 February 2021,"07 February 2021 - victoria records zero new coronavirus cases for second day in a row
A couple of days ago, the Australian state of Victoria recorded its first COVID-19 death in over a month.
As of 11pm Monday, there are two people in hospital who have been admitted with the disease and 32 active cases, which is the lowest number of active cases since early August 2020.
As of 11:59pm Wednesday, 3,020 people have tested positive to COVID-19 in Victoria since the start of the pandemic, while 82 people have died.
On Wednesday, health authorities in New South Wales (NSW) confirmed they are investigating a COVID-19 outbreak at a hotel used by travellers from the Indian subcontinent.
In South Australia, authorities have identified 19 new cases of COVID-19 in the community, while authorities in Tasmania have confirmed a positive case in an international student.
Australia: The 4-day quarantine to be extended
Australia: Victoria records no new cases for second straight day
Australia:"," for second day in a row
A couple of days ago, the Australian state of Victoria recorded its first COVID-19 death in over a month.
As of 11pm Monday, there are two people in hospital who have been admitted with the disease and 32 active cases, which is the lowest number of active cases since early August 2020.
As of 11:59pm Wednesday, 3,020 people have tested positive to COVID-19 in Victoria since the start of the pandemic, while 82 people have died.
On Wednesday, health authorities in New South Wales (NSW) confirmed they are investigating a COVID-19 outbreak at a hotel used by travellers from the Indian subcontinent.
In South Australia, authorities have identified 19 new cases of COVID-19 in the community, while authorities in Tasmania have confirmed a positive case in an international student.
Australia: The 4-day quarantine to be extended
Australia: Victoria records no new cases for second straight day
Australia:",Health
muddled phases for vaccine rollout in north west victoria,18 March 2021,"18 March 2021 - muddled phases for vaccine rollout in north west victoria
The north west region has been muddled by the COVID-19 vaccine rollout in the past month, but it looks like things will start to get moving soon.
The region hasn’t been as affected by COVID-19 as some others in the state, but it has seen some high numbers of cases with a 14-day average of 12.3.
As of March 17, there have been 1175 cases in the region since the start of the pandemic.
However, not all have been local, with 103 of those cases having come from outside the region.
The state government has been slow to open up the vaccination process to the region, but has just announced it will be able to start on March 29.
It will be a slower start than other regions, with just over 1000 vaccinations planned for the first week, and will only reach around 30 per cent of the region’s population by the end of the week.
There have been some issues with logistics, with","
The north west region has been muddled by the COVID-19 vaccine rollout in the past month, but it looks like things will start to get moving soon.
The region hasn’t been as affected by COVID-19 as some others in the state, but it has seen some high numbers of cases with a 14-day average of 12.3.
As of March 17, there have been 1175 cases in the region since the start of the pandemic.
However, not all have been local, with 103 of those cases having come from outside the region.
The state government has been slow to open up the vaccination process to the region, but has just announced it will be able to start on March 29.
It will be a slower start than other regions, with just over 1000 vaccinations planned for the first week, and will only reach around 30 per cent of the region’s population by the end of the week.
There have been some issues with logistics, with",Health
coronavirus australia live news who says vaccine short supply,23 February 2021,"23 February 2021 - coronavirus australia live news who says vaccine short supply covid deaths
Coronavirus Australia live news: WHO says Australia is in a 'critical situation'; Melbourne lockdown extended
Coronavirus cases in Victoria increase by 10; NSW reports two new cases in 24 hours; Victoria has just 30 ICU beds for COVID patients; 20% of the population have had COVID-19 vaccine
23 February 2021 - coronavirus australia live news who says vaccine short supply covid deaths
Coronavirus Australia live news: WHO says Australia is in a 'critical situation'; Melbourne lockdown extended
Coronavirus cases in Victoria increase by 10; NSW reports two new cases in 24 hours; Victoria has just 30 ICU beds for COVID patients; 20% of the population have had COVID-19 vaccine
23 February 2021 - coronavirus australia live news who says vaccine short supply covid deaths
Coronavirus Australia live news: WHO says Australia is in a 'critical situation'; Melbourne lockdown extended
Coronavirus cases in Victoria increase by"," covid deaths
Coronavirus Australia live news: WHO says Australia is in a 'critical situation'; Melbourne lockdown extended
Coronavirus cases in Victoria increase by 10; NSW reports two new cases in 24 hours; Victoria has just 30 ICU beds for COVID patients; 20% of the population have had COVID-19 vaccine
 covid deaths
Coronavirus Australia live news: WHO says Australia is in a 'critical situation'; Melbourne lockdown extended
Coronavirus cases in Victoria increase by 10; NSW reports two new cases in 24 hours; Victoria has just 30 ICU beds for COVID patients; 20% of the population have had COVID-19 vaccine
 covid deaths
Coronavirus Australia live news: WHO says Australia is in a 'critical situation'; Melbourne lockdown extended
Coronavirus cases in Victoria increase by",Health
dr norman swan looks at how countries have fared in lockdown,26 October 2021,"26 October 2021 - dr norman swan looks at how countries have fared in lockdown
A new report has been released by the UN’s World Health Organisation. It assesses the impact of the first three years of the pandemic on the world’s health systems and the effectiveness of countries’ responses.
Dr Norman Swan is an Australian journalist and public health expert who has written and hosted numerous radio and television shows. He has also written two books, the first of which was ‘Pandemic’ published in 2006 and now available in paperback.
He joins us to discuss the report and how he thinks Australia should have responded to the pandemic.","
A new report has been released by the UN’s World Health Organisation. It assesses the impact of the first three years of the pandemic on the world’s health systems and the effectiveness of countries’ responses.
Dr Norman Swan is an Australian journalist and public health expert who has written and hosted numerous radio and television shows. He has also written two books, the first of which was ‘Pandemic’ published in 2006 and now available in paperback.
He joins us to discuss the report and how he thinks Australia should have responded to the pandemic.",Health
eu not where it wants to be in coronavirus vaccine fight,10 February 2021,"10 February 2021 - eu not where it wants to be in coronavirus vaccine fight, von der leyen says
BRUSSELS (Reuters) - European Union drug regulator is ""not where we want to be"" in the battle against the coronavirus pandemic, the EU's top official, Ursula von der Leyen, said on Tuesday.
""Of course we want to have a vaccine which is the best vaccine possible. But also it should be widely available, we need enough quantities. We need to be prepared to give vaccines for all Europeans,"" she said.
The European Commission, the EU's executive arm, has already agreed on the acquisition of 200 million doses of the BioNTech/Pfizer and 100 million doses of the Moderna vaccine. The bloc expects to receive its first deliveries by the end of March.
Von der Leyen said she hopes that, based on the EU's negotiations with Pfizer and Moderna, other producers could agree to supply the bloc with additional doses.
""So far, we have agreements with the three producers which are already producing for",", von der leyen says
BRUSSELS (Reuters) - European Union drug regulator is ""not where we want to be"" in the battle against the coronavirus pandemic, the EU's top official, Ursula von der Leyen, said on Tuesday.
""Of course we want to have a vaccine which is the best vaccine possible. But also it should be widely available, we need enough quantities. We need to be prepared to give vaccines for all Europeans,"" she said.
The European Commission, the EU's executive arm, has already agreed on the acquisition of 200 million doses of the BioNTech/Pfizer and 100 million doses of the Moderna vaccine. The bloc expects to receive its first deliveries by the end of March.
Von der Leyen said she hopes that, based on the EU's negotiations with Pfizer and Moderna, other producers could agree to supply the bloc with additional doses.
""So far, we have agreements with the three producers which are already producing for",Health
coronacheck scott morrison pfizer vaccine facebook,26 February 2021,"26 February 2021 - coronacheck scott morrison pfizer vaccine facebook
Scott Morrison said the Facebook ban would come off when the government’s public messaging campaign had finished and the population reached 70 per cent of adults fully vaccinated. Photograph: Loren Elliott/EPA
Scott Morrison says he’s not afraid to lock Facebook out of Australian news
The government is threatening to ban the social media giant’s news content in Australia unless it agrees to pay for access to its articles.
The Morrison government’s threat to block access to Facebook, unless it pays for the right to post its news to its platform, has caused a major row between Australia and the US.
Facebook blocked news on its platform from Friday night, in a row with the government over proposed laws to force the big tech giants to pay for media content.
The government’s media bargaining code will force tech giants to pay for content they post, or face blocking of their access to the internet.
In a Facebook post on Friday, Facebook’s head of global news partnerships, Michael Roblin, said Facebook was unable to reach an","
Scott Morrison said the Facebook ban would come off when the government’s public messaging campaign had finished and the population reached 70 per cent of adults fully vaccinated. Photograph: Loren Elliott/EPA
Scott Morrison says he’s not afraid to lock Facebook out of Australian news
The government is threatening to ban the social media giant’s news content in Australia unless it agrees to pay for access to its articles.
The Morrison government’s threat to block access to Facebook, unless it pays for the right to post its news to its platform, has caused a major row between Australia and the US.
Facebook blocked news on its platform from Friday night, in a row with the government over proposed laws to force the big tech giants to pay for media content.
The government’s media bargaining code will force tech giants to pay for content they post, or face blocking of their access to the internet.
In a Facebook post on Friday, Facebook’s head of global news partnerships, Michael Roblin, said Facebook was unable to reach an",Health
