Original_Text,Formatted_Date,Generated_Full_Response,Extracted_Key_Response,Category
has the nsw government been using creative,15 November 2021,"15 November 2021 - has the nsw government been using creative accounting to cover up the real costs of its covid response?
17 October 2021 - the nsw government is not being upfront about the financial implications of its covid response
7 October 2021 - nsw treasurer Matt Kean says no lockdowns are possible in nsw because the nsw government hasn't had a budget surplus in three years
25 July 2021 - the nsw government has spent $16.6 billion on covid related measures
7 July 2021 - the nsw government has spent $13.8 billion on covid related measures
26 May 2021 - the nsw government has spent $5.3 billion on covid related measures
15 March 2021 - the nsw government has spent $4.1 billion on covid related measures
5 January 2021 - the nsw government has spent $2.7 billion on covid related measures
16 November 2020 - the nsw government has spent $1.5 billion on covid"," accounting to cover up the real costs of its covid response?
17 October 2021 - the nsw government is not being upfront about the financial implications of its covid response
7 October 2021 - nsw treasurer Matt Kean says no lockdowns are possible in nsw because the nsw government hasn't had a budget surplus in three years
25 July 2021 - the nsw government has spent $16.6 billion on covid related measures
7 July 2021 - the nsw government has spent $13.8 billion on covid related measures
26 May 2021 - the nsw government has spent $5.3 billion on covid related measures
15 March 2021 - the nsw government has spent $4.1 billion on covid related measures
5 January 2021 - the nsw government has spent $2.7 billion on covid related measures
16 November 2020 - the nsw government has spent $1.5 billion on covid",Politics
labor liberal parties criticised for wa election online ads,09 March 2021,"09 March 2021 - labor liberal parties criticised for wa election online ads
The left-wing, anti-austerity Syriza party won the Greek parliamentary election of 7 January, with a slim 3.4% majority. But its online election campaign strategy has come under fire for being too conservative.
The main opposition party, New Democracy, led by Kyriakos Mitsotakis, came in second with 32.3%. Syriza, led by Alexis Tsipras, won the election with 31.5% of the vote, while New Democracy got 31.5%. Syriza, which had been in power for four years, was the first political party in Greece to be given a majority in Parliament in the last 36 years.
But it was New Democracy that came up with the best online campaign, according to a new study.
""The New Democracy campaign used the platform to create a narrative of a country that was under attack,"" said Dr. George Georgiou, professor of political science at the University of Athens.
""The New Democracy","
The left-wing, anti-austerity Syriza party won the Greek parliamentary election of 7 January, with a slim 3.4% majority. But its online election campaign strategy has come under fire for being too conservative.
The main opposition party, New Democracy, led by Kyriakos Mitsotakis, came in second with 32.3%. Syriza, led by Alexis Tsipras, won the election with 31.5% of the vote, while New Democracy got 31.5%. Syriza, which had been in power for four years, was the first political party in Greece to be given a majority in Parliament in the last 36 years.
But it was New Democracy that came up with the best online campaign, according to a new study.
""The New Democracy campaign used the platform to create a narrative of a country that was under attack,"" said Dr. George Georgiou, professor of political science at the University of Athens.
""The New Democracy",Politics
french president macron says scott morrison lied,01 November 2021,"01 November 2021 - french president macron says scott morrison lied about australias coal policy in phone call
The French President Emmanuel Macron has said that Scott Morrison lied to him about Australia's coal policy in a telephone call just before the former prime minister made his fateful decision to ditch a gas contract with France.
During an interview with French television, Macron said he was ""surprised"" to find out Australia was going to terminate the contract, which was signed by Morrison in 2016.
""There is a certain element of honesty that has to be maintained and a certain truth that must be communicated,"" Macron said.
The comments came as the former French ambassador to Australia, Denis Beaudoin, said Morrison had broken a promise he had made to him before the decision was made to cancel the contract.
""I can tell you that before the Australian Prime Minister announced the cancellation of the submarine contract with France, I had told him that, on the day he would be making this decision, I would give him a speech in Paris, in the place of my ancestors"," about australias coal policy in phone call
The French President Emmanuel Macron has said that Scott Morrison lied to him about Australia's coal policy in a telephone call just before the former prime minister made his fateful decision to ditch a gas contract with France.
During an interview with French television, Macron said he was ""surprised"" to find out Australia was going to terminate the contract, which was signed by Morrison in 2016.
""There is a certain element of honesty that has to be maintained and a certain truth that must be communicated,"" Macron said.
The comments came as the former French ambassador to Australia, Denis Beaudoin, said Morrison had broken a promise he had made to him before the decision was made to cancel the contract.
""I can tell you that before the Australian Prime Minister announced the cancellation of the submarine contract with France, I had told him that, on the day he would be making this decision, I would give him a speech in Paris, in the place of my ancestors",Politics
march 4 justice sports shocking week government accountability,20 March 2021,"20 March 2021 - march 4 justice sports shocking week government accountability
Bribe and a Bullet
On Monday, March 15, we celebrate the National Day for Truth and Reconciliation, which is also known as Orange Shirt Day. This annual event is a commemoration of Indigenous Residential Schools and the legacy of residential schools in Canada. It is also a day to honour Survivors and their families, and to bring attention to the ongoing needs of Indigenous communities.
On March 10, 2021, a group of Indigenous survivors came together to release the names of 215 children found buried at the site of the former Kamloops Indian Residential School, a residential school in Kamloops, British Columbia, operated by the Roman Catholic Church from 1890 to 1969. They were also calling for a National Day for Truth and Reconciliation.
The National Day for Truth and Reconciliation was proclaimed by the Parliament of Canada in 2015. However, the government did not designate the day for the purpose of national commemoration until September 2019. This","
Bribe and a Bullet
On Monday, March 15, we celebrate the National Day for Truth and Reconciliation, which is also known as Orange Shirt Day. This annual event is a commemoration of Indigenous Residential Schools and the legacy of residential schools in Canada. It is also a day to honour Survivors and their families, and to bring attention to the ongoing needs of Indigenous communities.
On March 10, 2021, a group of Indigenous survivors came together to release the names of 215 children found buried at the site of the former Kamloops Indian Residential School, a residential school in Kamloops, British Columbia, operated by the Roman Catholic Church from 1890 to 1969. They were also calling for a National Day for Truth and Reconciliation.
The National Day for Truth and Reconciliation was proclaimed by the Parliament of Canada in 2015. However, the government did not designate the day for the purpose of national commemoration until September 2019. This",Politics
zak kirkup rejects newspoll pointing to liberal election wipeout,20 February 2021,"20 February 2021 - zak kirkup rejects newspoll pointing to liberal election wipeout
19 February 2021 - victorian health minister calls in private security company after government fails to contain covid-19
19 February 2021 - police investigate'multiple' stabbings in london as violent weekend begins
19 February 2021 - how the'saga of nato' is about to become a key issue in us presidential politics
19 February 2021 - south africa's rand slides after president ramaphosa calls for end to'sudden wealth'
19 February 2021 - coronavirus: lockdown in england'may have to be extended', health minister warns
19 February 2021 - coronavirus: 'unreliable' government test-and-trace system has failed, says nhs boss
19 February 2021 - police investigate'multiple' stabbings in london as violent weekend begins
19 February 2021 - south africa's rand slides after president ramaphosa calls for end to'sudden wealth'
19 February 2021 -","
19 February 2021 - victorian health minister calls in private security company after government fails to contain covid-19
19 February 2021 - police investigate'multiple' stabbings in london as violent weekend begins
19 February 2021 - how the'saga of nato' is about to become a key issue in us presidential politics
19 February 2021 - south africa's rand slides after president ramaphosa calls for end to'sudden wealth'
19 February 2021 - coronavirus: lockdown in england'may have to be extended', health minister warns
19 February 2021 - coronavirus: 'unreliable' government test-and-trace system has failed, says nhs boss
19 February 2021 - police investigate'multiple' stabbings in london as violent weekend begins
19 February 2021 - south africa's rand slides after president ramaphosa calls for end to'sudden wealth'
19 February 2021 -",Politics
us politics updates live donald trump senate impeachment trial,23 January 2021,"23 January 2021 - us politics updates live donald trump senate impeachment trial 2021
US politics updates: Trial to begin after Biden inauguration
Democratic vice president Kamala Harris takes oath as US president Joe Biden’s successor
The trial of Donald Trump will start on 8 February after Joe Biden is sworn in as president. The president will be impeached by the House of Representatives on Monday before being tried in the Senate by a majority of senators.
Mr Biden said on Saturday he will make a decision about whether he wants to bring criminal charges against the outgoing president after his inauguration. Mr Biden said he believes “every American who has ever served this country should be treated with dignity and respect” but that he wants to “follow the law”.
He told reporters: “I’m going to make a decision, based on what the law is, and the facts as I see them, and I’ll make that decision. And if I do, we’ll make it public.”
The Senate will have to act swiftly to pass a resolution allowing the impeachment trial to go ahead before "," 2021
US politics updates: Trial to begin after Biden inauguration
Democratic vice president Kamala Harris takes oath as US president Joe Biden’s successor
The trial of Donald Trump will start on 8 February after Joe Biden is sworn in as president. The president will be impeached by the House of Representatives on Monday before being tried in the Senate by a majority of senators.
Mr Biden said on Saturday he will make a decision about whether he wants to bring criminal charges against the outgoing president after his inauguration. Mr Biden said he believes “every American who has ever served this country should be treated with dignity and respect” but that he wants to “follow the law”.
He told reporters: “I’m going to make a decision, based on what the law is, and the facts as I see them, and I’ll make that decision. And if I do, we’ll make it public.”
The Senate will have to act swiftly to pass a resolution allowing the impeachment trial to go ahead before ",Politics
senate votes biden nominee garland as us attorney general,11 March 2021,"11 March 2021 - senate votes biden nominee garland as us attorney general
President Biden on Tuesday won Senate confirmation of his choice for attorney general, Merrick Garland, and the former chief judge of the United States Court of Appeals for the District of Columbia Circuit. Garland was confirmed on a 70-30 vote, with all Republicans and Senator Bernie Sanders, an independent who caucuses with the Democrats, opposed. Garland is a former U.S. attorney in the District of Columbia and is a career public servant. He was the court's chief judge from 2013 until President Donald Trump nominated him to the Supreme Court in 2016. In his confirmation hearing, Garland testified that he will faithfully execute the laws of the United States and that he will not permit the Department of Justice to be used as a political instrument. He said he would ""uphold and enforce the law,"" but that he would also ""make clear that there are limits on the Department's use of its enforcement powers."" Garland also said he would ""ensure that the Department of Justice remains focused on","
President Biden on Tuesday won Senate confirmation of his choice for attorney general, Merrick Garland, and the former chief judge of the United States Court of Appeals for the District of Columbia Circuit. Garland was confirmed on a 70-30 vote, with all Republicans and Senator Bernie Sanders, an independent who caucuses with the Democrats, opposed. Garland is a former U.S. attorney in the District of Columbia and is a career public servant. He was the court's chief judge from 2013 until President Donald Trump nominated him to the Supreme Court in 2016. In his confirmation hearing, Garland testified that he will faithfully execute the laws of the United States and that he will not permit the Department of Justice to be used as a political instrument. He said he would ""uphold and enforce the law,"" but that he would also ""make clear that there are limits on the Department's use of its enforcement powers."" Garland also said he would ""ensure that the Department of Justice remains focused on",Politics
climate policy morrison government commentary what about answers,13 February 2021,"13 February 2021 - climate policy morrison government commentary what about answers? australia
The Morrison government's latest climate change policy announcement is its Energy White Paper. The White Paper is the latest iteration of an ongoing government strategy to develop energy infrastructure to increase the reliability of electricity supplies and provide the opportunity to export more coal. The White Paper was published in December 2020 but did not contain many new proposals, with the policy developments in the White Paper being extensions of earlier proposals, such as the National Energy Guarantee. The White Paper also reiterates the government's desire to reduce Australia's emissions through international carbon markets and the use of clean energy technologies.
In the White Paper, the government commits to continuing to subsidise the development of coal-fired power stations through the Australian Renewable Energy Agency. This follows the government's announcement in 2019 of a $1.5 billion investment in the Victoria-based Hazelwood plant which, despite being the oldest power station in Victoria, was not required to meet the state's renewable energy targets. In addition to the existing Hazelwood investment","? australia
The Morrison government's latest climate change policy announcement is its Energy White Paper. The White Paper is the latest iteration of an ongoing government strategy to develop energy infrastructure to increase the reliability of electricity supplies and provide the opportunity to export more coal. The White Paper was published in December 2020 but did not contain many new proposals, with the policy developments in the White Paper being extensions of earlier proposals, such as the National Energy Guarantee. The White Paper also reiterates the government's desire to reduce Australia's emissions through international carbon markets and the use of clean energy technologies.
In the White Paper, the government commits to continuing to subsidise the development of coal-fired power stations through the Australian Renewable Energy Agency. This follows the government's announcement in 2019 of a $1.5 billion investment in the Victoria-based Hazelwood plant which, despite being the oldest power station in Victoria, was not required to meet the state's renewable energy targets. In addition to the existing Hazelwood investment",Politics
sandra mason delivers presidential speech barbados republic,01 December 2021,"01 December 2021 - sandra mason delivers presidential speech barbados republic
On Tuesday, November 30, 2021, President of the Republic of the United States of America, His Excellency Joe Biden, made the first-ever speech from the Oval Office to a joint session of the United States Congress and delivered remarks that will be remembered for years to come.  The historic speech was the first in office from the newly elected President Biden, following the inauguration in Washington, D.C.  and it focused on the challenges facing the United States in the midst of a pandemic and a nation divided.  He addressed the pressing concerns of the people of the country including issues of climate change, the health crisis, racial injustice and the threats to democracy and free speech. 
In his speech, President Biden called for unity.  He recognized the need to “heal the soul of this nation” and said that “unity is the path forward” and “unity is the way to win”.  The President recognized that “unity is the way to end this uncivil war","
On Tuesday, November 30, 2021, President of the Republic of the United States of America, His Excellency Joe Biden, made the first-ever speech from the Oval Office to a joint session of the United States Congress and delivered remarks that will be remembered for years to come.  The historic speech was the first in office from the newly elected President Biden, following the inauguration in Washington, D.C.  and it focused on the challenges facing the United States in the midst of a pandemic and a nation divided.  He addressed the pressing concerns of the people of the country including issues of climate change, the health crisis, racial injustice and the threats to democracy and free speech. 
In his speech, President Biden called for unity.  He recognized the need to “heal the soul of this nation” and said that “unity is the path forward” and “unity is the way to win”.  The President recognized that “unity is the way to end this uncivil war",Politics
nt government melbourne suburb covid hotspot declaration,04 February 2021,"04 February 2021 - nt government melbourne suburb covid hotspot declaration, coronavirus australia melbourne, covid-19 restrictions, melbourne lockdown, melbourne covid hotspot, covid hotspots
The State Government has declared a number of additional suburbs as Melbourne's coronavirus hotspot and will start enforcing fines of $1,652 on people found in those areas.
The new areas join the existing hotspots of Coburg, Brunswick, West Coburg, North Coburg, Flemington, Collingwood, Abbotsford, Clifton Hill, Fitzroy, Preston, Reservoir, Thomastown, Bundoora, Ivanhoe, Macleod, Greensborough, Templestowe, and Yallambie.
The new hotspots are:
The Department of Health and Human Services has announced a total of 22 new COVID-19 cases in Victoria, as the state recorded a 4.2 per cent rise in new cases.
Four cases are linked to known outbreaks, 12 are household contacts of known cases, and six are under investigation.
The new cases were",", coronavirus australia melbourne, covid-19 restrictions, melbourne lockdown, melbourne covid hotspot, covid hotspots
The State Government has declared a number of additional suburbs as Melbourne's coronavirus hotspot and will start enforcing fines of $1,652 on people found in those areas.
The new areas join the existing hotspots of Coburg, Brunswick, West Coburg, North Coburg, Flemington, Collingwood, Abbotsford, Clifton Hill, Fitzroy, Preston, Reservoir, Thomastown, Bundoora, Ivanhoe, Macleod, Greensborough, Templestowe, and Yallambie.
The new hotspots are:
The Department of Health and Human Services has announced a total of 22 new COVID-19 cases in Victoria, as the state recorded a 4.2 per cent rise in new cases.
Four cases are linked to known outbreaks, 12 are household contacts of known cases, and six are under investigation.
The new cases were",Politics
