Original_Text,Formatted_Date,Generated_Full_Response,Extracted_Key_Response
three men die at port kembla nsw swept sea wave,23 January 2021,"23 January 2021 - three men die at port kembla nsw swept sea wave
Three men who were part of a group of five have died after a dramatic incident at Port Kembla.
Two of the men were believed to be aged in their late 30s and early 40s, and the third was in his 60s. The other two men were injured and taken to the Prince of Wales Hospital in Sydney, according to NSW Police.
Police say the men had entered the water after seeing a huge wave crashing onto the rocks.
The wave was so strong it swept them out to sea. They were all rescued by police, who are now trying to determine how the men got into the water. Police said the men were believed to have been swimming and lost control of their bodies. They were all wearing surfboards. Police are now investigating what happened.
The incident happened just before 4pm on Saturday afternoon. It is believed that two men were rescued by a surf lifesaver, while the third man was found unresponsive by the beach.
The three men were pronounced","
Three men who were part of a group of five have died after a dramatic incident at Port Kembla.
Two of the men were believed to be aged in their late 30s and early 40s, and the third was in his 60s. The other two men were injured and taken to the Prince of Wales Hospital in Sydney, according to NSW Police.
Police say the men had entered the water after seeing a huge wave crashing onto the rocks.
The wave was so strong it swept them out to sea. They were all rescued by police, who are now trying to determine how the men got into the water. Police said the men were believed to have been swimming and lost control of their bodies. They were all wearing surfboards. Police are now investigating what happened.
The incident happened just before 4pm on Saturday afternoon. It is believed that two men were rescued by a surf lifesaver, while the third man was found unresponsive by the beach.
The three men were pronounced"
nt records one new covid 19 case bringing cluster 52 cases,25 November 2021,"25 November 2021 - nt records one new covid 19 case bringing cluster 52 cases
NORTH TERRITORY: The Northern Territory’s total number of locally acquired COVID-19 cases is now 52 with 25 November recording one new case. There are no new cases in the NT in hotel quarantine.
The case was recorded in the 3-9 year old age group.
All the cases in Cluster 52 are now in quarantine and testing is underway to find anyone else who may have been in close contact.
The number of active cases is now 29. There are 23 active cases in hotel quarantine and six cases in the community.
There are currently no cases in hospital. There are no new cases in Darwin Hospital.
Today the Territory recorded 25,833 tests.
NT Health is advising residents to continue practicing COVID-safe behaviours including:
  1. Get tested as soon as possible if you are experiencing symptoms of COVID-19. If you have a cough, fever or shortness of breath, get tested. Symptoms can develop quickly. This includes people who may","
NORTH TERRITORY: The Northern Territory’s total number of locally acquired COVID-19 cases is now 52 with 25 November recording one new case. There are no new cases in the NT in hotel quarantine.
The case was recorded in the 3-9 year old age group.
All the cases in Cluster 52 are now in quarantine and testing is underway to find anyone else who may have been in close contact.
The number of active cases is now 29. There are 23 active cases in hotel quarantine and six cases in the community.
There are currently no cases in hospital. There are no new cases in Darwin Hospital.
Today the Territory recorded 25,833 tests.
NT Health is advising residents to continue practicing COVID-safe behaviours including:
  1. Get tested as soon as possible if you are experiencing symptoms of COVID-19. If you have a cough, fever or shortness of breath, get tested. Symptoms can develop quickly. This includes people who may"
ngozi okonjo iweala appointed to head world trade organisation,16 February 2021,"16 February 2021 - ngozi okonjo iweala appointed to head world trade organisation
The 158th General Council of the World Trade Organization (WTO) has appointed Ngozi Okonjo Iweala of Nigeria as the next Director-General of the WTO. The WTO is the only global international organization dealing with the rules of trade between nations. At WTO, the member governments decide on common rules, procedures, and standards for international trade in goods and services and intellectual property. It also provides a framework for negotiations on trade policy.
16 February 2021 - covid-19 update - sars-cov-2 (novel coronavirus) cases, deaths and tests in africa
Covid-19 update for Africa
SARS-CoV-2 (novel coronavirus) cases, deaths and tests in Africa
15 February 2021 - the african continental free trade area (afcta)
Africa is now more integrated than ever
15 February 2021 - african development bank launches digital tool to help companies access covid-19 stimulus funds
The African Development Bank Group","
The 158th General Council of the World Trade Organization (WTO) has appointed Ngozi Okonjo Iweala of Nigeria as the next Director-General of the WTO. The WTO is the only global international organization dealing with the rules of trade between nations. At WTO, the member governments decide on common rules, procedures, and standards for international trade in goods and services and intellectual property. It also provides a framework for negotiations on trade policy.
16 February 2021 - covid-19 update - sars-cov-2 (novel coronavirus) cases, deaths and tests in africa
Covid-19 update for Africa
SARS-CoV-2 (novel coronavirus) cases, deaths and tests in Africa
15 February 2021 - the african continental free trade area (afcta)
Africa is now more integrated than ever
15 February 2021 - african development bank launches digital tool to help companies access covid-19 stimulus funds
The African Development Bank Group"
on the ground in tokyo: tracey holmes speaks to rose nathike,29 July 2021,"29 July 2021 - on the ground in tokyo: tracey holmes speaks to rose nathike about her life as a professional rugby player.
In episode two of the On the Ground Podcast series, we follow Tracey Holmes from The Rugby Union Club of Australia to Rose Nathike of the National Women’s Team of Kenya, as she talks about her journey as a professional rugby player.
The On the Ground podcast series is produced and hosted by Tracey Holmes. It is an initiative of The Rugby Union Club of Australia that brings you intimate conversations with women who play rugby union at the grassroots, professional or elite levels.
The On the Ground podcast series is available on all major podcast platforms.
You can also access it directly via the player below."," about her life as a professional rugby player.
In episode two of the On the Ground Podcast series, we follow Tracey Holmes from The Rugby Union Club of Australia to Rose Nathike of the National Women’s Team of Kenya, as she talks about her journey as a professional rugby player.
The On the Ground podcast series is produced and hosted by Tracey Holmes. It is an initiative of The Rugby Union Club of Australia that brings you intimate conversations with women who play rugby union at the grassroots, professional or elite levels.
The On the Ground podcast series is available on all major podcast platforms.
You can also access it directly via the player below."
health minister greg hunt,14 November 2021,"14 November 2021 - health minister greg hunt has announced a new $150 million funding boost to support the delivery of the national road safety strategy 2011–2020, which includes an additional $20 million for school bus safety initiatives.
Mr Hunt says the additional funding will contribute to the delivery of the strategy's goal of saving 80 lives each year on our roads.
""The government is committed to road safety, and this investment will help us achieve our goal of saving lives and making our roads safer,"" he says.
""The funding will help build the evidence base to determine whether a road safety strategy is working, as well as supporting implementation and evaluation.
""Road safety funding is one of the highest priorities for this government, and our commitment to it is demonstrated by the additional $150 million we are providing.
""Through this funding, we will make our roads safer for all road users.""
Mr Hunt says the new funding will contribute to the delivery of the national road safety strategy, which is led by the Australian Road Safety Foundation, and is supported by"," has announced a new $150 million funding boost to support the delivery of the national road safety strategy 2011–2020, which includes an additional $20 million for school bus safety initiatives.
Mr Hunt says the additional funding will contribute to the delivery of the strategy's goal of saving 80 lives each year on our roads.
""The government is committed to road safety, and this investment will help us achieve our goal of saving lives and making our roads safer,"" he says.
""The funding will help build the evidence base to determine whether a road safety strategy is working, as well as supporting implementation and evaluation.
""Road safety funding is one of the highest priorities for this government, and our commitment to it is demonstrated by the additional $150 million we are providing.
""Through this funding, we will make our roads safer for all road users.""
Mr Hunt says the new funding will contribute to the delivery of the national road safety strategy, which is led by the Australian Road Safety Foundation, and is supported by"
theme parks reduce opening hours but vaccines bring hope,19 February 2021,"19 February 2021 - theme parks reduce opening hours but vaccines bring hope for the sector
Tourism in Japan has been a significant source of revenue for years. However, it has suffered as a result of COVID-19, with the sector expected to drop from 5.5% to 3.4% of the GDP in 2020.
The country has had a strong vaccination campaign since the end of January, with 6 million people receiving the first dose as of 19 February 2021.
The Japanese tourism sector was the hardest hit of all sectors, falling from 5.5% of the GDP in 2019 to an estimated 3.4% in 2020. The sector lost an estimated 2.7 trillion Yen or 28.6 billion USD in 2020.
According to the Japan National Tourism Organization (JNTO), Japan has the 2nd most popular destination in the world. The country welcomed 31 million foreign visitors in 2019.
Many of these tourists came from South Korea, China"," for the sector
Tourism in Japan has been a significant source of revenue for years. However, it has suffered as a result of COVID-19, with the sector expected to drop from 5.5% to 3.4% of the GDP in 2020.
The country has had a strong vaccination campaign since the end of January, with 6 million people receiving the first dose as of 19 February 2021.
The Japanese tourism sector was the hardest hit of all sectors, falling from 5.5% of the GDP in 2019 to an estimated 3.4% in 2020. The sector lost an estimated 2.7 trillion Yen or 28.6 billion USD in 2020.
According to the Japan National Tourism Organization (JNTO), Japan has the 2nd most popular destination in the world. The country welcomed 31 million foreign visitors in 2019.
Many of these tourists came from South Korea, China"
tributes for young netballer killed in mclaren vale crash,26 February 2021,"26 February 2021 - tributes for young netballer killed in mclaren vale crash
It is with great sadness that we announce the passing of a young netballer, Shaye-Rae, who was killed in a car accident in the McLaren Vale on Friday night, 26 February.
Shaye-Rae, a passionate and dedicated netballer, was a junior player in her local netball club in Adelaide, representing the club in both the under 17 and under 19 divisions. Shaye-Rae was involved in the netball program at Netball SA, and was a member of the under 17 South Australian Team, and played in the state championships in Adelaide.
Netball SA offers our deepest condolences to Shaye-Rae’s family, friends, and teammates, and our thoughts are with you at this difficult time.
You can show your support by leaving a tribute message in the comments section below.","
It is with great sadness that we announce the passing of a young netballer, Shaye-Rae, who was killed in a car accident in the McLaren Vale on Friday night, 26 February.
Shaye-Rae, a passionate and dedicated netballer, was a junior player in her local netball club in Adelaide, representing the club in both the under 17 and under 19 divisions. Shaye-Rae was involved in the netball program at Netball SA, and was a member of the under 17 South Australian Team, and played in the state championships in Adelaide.
Netball SA offers our deepest condolences to Shaye-Rae’s family, friends, and teammates, and our thoughts are with you at this difficult time.
You can show your support by leaving a tribute message in the comments section below."
catholic church pays out record amount over child,25 November 2021,"25 November 2021 - catholic church pays out record amount over child abuse, pope issues statement, says ‘church is not immune from moral failings’, catholic abuse cases: what’s new?, the abuse in ireland: the report, pope issues statement, catholic church pays out record amount over child abuse, catholic abuse cases: what’s new?, the abuse in ireland: the report, catholic church pays out record amount over child abuse, pope issues statement, says ‘church is not immune from moral failings’, catholic abuse cases: what’s new?, the abuse in ireland: the report, pope issues statement, catholic church pays out record amount over child abuse, pope issues statement, says ‘church is not immune from moral failings’, catholic abuse cases: what’s new?, the abuse in ireland: the report, catholic church pays out record amount over child abuse, pope issues statement, says ‘church is not immune from moral failings’, catholic abuse cases: what’s new?, the abuse in ireland: the report, catholic church pays out record"," abuse, pope issues statement, says ‘church is not immune from moral failings’, catholic abuse cases: what’s new?, the abuse in ireland: the report, pope issues statement, catholic church pays out record amount over child abuse, catholic abuse cases: what’s new?, the abuse in ireland: the report, catholic church pays out record amount over child abuse, pope issues statement, says ‘church is not immune from moral failings’, catholic abuse cases: what’s new?, the abuse in ireland: the report, pope issues statement, catholic church pays out record amount over child abuse, pope issues statement, says ‘church is not immune from moral failings’, catholic abuse cases: what’s new?, the abuse in ireland: the report, catholic church pays out record amount over child abuse, pope issues statement, says ‘church is not immune from moral failings’, catholic abuse cases: what’s new?, the abuse in ireland: the report, catholic church pays out record"
butterfly conservationist data used to track climate change,17 October 2021,"17 October 2021 - butterfly conservationist data used to track climate change
We're working to understand what impact the climate is having on butterflies in Britain. Butterfly Conservation is asking anyone who sees them to take a photo and submit it to our  Butterflies & Climate Change  data platform.
Data for 12 species have already been collected, including 3 species of butterfly that are of conservation concern - the high brown fritillary, the small copper and the common blue. The data collected from butterflies seen across the UK from August to October can show what impact climate change is having on our species.
Data has already been collected from the high brown fritillary in Scotland and the common blue in the south of England. See the map of common blue sightings to the right to explore where the species is being seen in the south of England. The high brown fritillary map to the left shows the species across Scotland. 
As the climate warms up, it's likely that species with northern ranges will extend their ranges further south, while species with southern ranges will","
We're working to understand what impact the climate is having on butterflies in Britain. Butterfly Conservation is asking anyone who sees them to take a photo and submit it to our  Butterflies & Climate Change  data platform.
Data for 12 species have already been collected, including 3 species of butterfly that are of conservation concern - the high brown fritillary, the small copper and the common blue. The data collected from butterflies seen across the UK from August to October can show what impact climate change is having on our species.
Data has already been collected from the high brown fritillary in Scotland and the common blue in the south of England. See the map of common blue sightings to the right to explore where the species is being seen in the south of England. The high brown fritillary map to the left shows the species across Scotland. 
As the climate warms up, it's likely that species with northern ranges will extend their ranges further south, while species with southern ranges will"
ian chappell extremely lucky marnus labuschagne australia india,16 January 2021,"16 January 2021 - ian chappell extremely lucky marnus labuschagne australia india cricket ipl
Former Australia great Ian Chappell has given credit to Marnus Labuschagne, stating that the Australian batter was ""extremely lucky"" to get the call-up for the 2021 Indian Premier League (IPL) and said that it would have been a different story if he was in Virat Kohli's shoes.
Labuschagne was on a golden run in the last few months. He scored a century on his debut for Australia against India in the fourth Test of the series in Australia and then, was part of the squad for the T20I series against India in Australia. After scoring 58 and 28 against India in the T20I series, Labuschagne was retained by the Sunrisers Hyderabad in the IPL auctions.
""Labuschagne was playing some very good cricket in Australia. He had got a hundred in the first Test, and then he was batting well against India in the Test series. The Sunrisers were delighted to get"," cricket ipl
Former Australia great Ian Chappell has given credit to Marnus Labuschagne, stating that the Australian batter was ""extremely lucky"" to get the call-up for the 2021 Indian Premier League (IPL) and said that it would have been a different story if he was in Virat Kohli's shoes.
Labuschagne was on a golden run in the last few months. He scored a century on his debut for Australia against India in the fourth Test of the series in Australia and then, was part of the squad for the T20I series against India in Australia. After scoring 58 and 28 against India in the T20I series, Labuschagne was retained by the Sunrisers Hyderabad in the IPL auctions.
""Labuschagne was playing some very good cricket in Australia. He had got a hundred in the first Test, and then he was batting well against India in the Test series. The Sunrisers were delighted to get"
