Text,Year,Category,Log_Probability
"05 December 2011 - markets overstocked with fruit
Market overstocked with pomegranate and grapefruit
With the season for pomegranate fruit and grapefruit already in progress and nearing its end, market supplies have seen a considerable increase. Fruit producers have been delivering their production at the markets to stock up on supplies and in this way have managed to sell off the surplus.
It has been reported that pomegranate supplies have reached up to 100 tonnes per day at various markets throughout Turkey and have led to a considerable surplus in stocks. Grapefruit and other citrus fruit have also seen an increase in the supply of up to 200 tonnes per day. It has been reported that the increase in market supplies has led to a considerable decrease in the price of grapefruit.
There has also been an increase in the number of exporters, including Ege Fruit, who have been supplying to markets in England. It has been reported that pomegranate fruit is priced at 12.5 TRY (approximately 5.2 EUR",2011,Economy,-578278912.0
"20 July 2011 - abc business news and market analysis
I just read a blog written by James Kirby, a young Sydney based graphic designer. In it, he discusses the importance of developing an understanding of design in order to be able to read it. He goes on to discuss the fact that the world's best design is invisible - which is something I've discussed previously.
But James also discusses the way that designers work - how they create the visual language that is used to communicate ideas, and how important it is to have a good understanding of this to be able to critique and assess the way in which designers work.
It's something that's worth thinking about as we move forward.
Labels: advertising, design, media, media relations, public relations
20 July 2011 - 3rd Annual Global Public Relations & Communicati...
The International Association of Business Communicators (IABC) and its Global Communications Forum are pleased to announce the launch of the third annual Global Public Relations & Communication Survey (GPRCS), the world’s largest survey of",2011,Economy,-569760896.0
"10 August 2011 - abc business news and market analysis
10 August 2011 - abc business news and market analysis
Posted by Sowilo on 10 August 2011 - 8:14 PM
I just wanted to share some links to my favorite shows from this past week.  ABC is offering their program ""Marketplace"" and I find it very informative on what is going on with the economy and the stock market.  It gives me the tools to analyze the markets and make decisions.  The other show I like to watch is ABC's World News.  It gives me the tools to decide which direction the stock market will take and gives me information to make decisions.  There are also some good articles at abcnws.go.com.
Marketplace: 8/5/11 - ABC News - Top Stories
Watch Marketplace on ABC News
Watch World News with Diane Sawyer on ABC News
  I think it is very important to know what is going on in the markets and how it will affect us in the future",2011,Economy,-566044288.0
"18 November 2011 - despite problems with international markets cattle exports to Hong Kong were still moving. 20,000 live cattle were expected to arrive in Hong Kong this week. Cattle are expected to arrive at Hong Kong in the next 4 to 6 weeks. The first exports are expected to arrive in the coming weeks. The 2011 Australian cattle season will finish in early December. The season will see around 700,000 cattle exported to Japan, Korea and Hong Kong. The season is running on time with cattle numbers on farm 10% below 2010.",2011,Economy,-324707648.0
"19 August 2011 - stocks sink as fear sweeps world markets
The stock market sank as investors around the world feared that the European debt crisis might bring down the euro.  The FTSE 100 index lost 80 points in early trading before recovering to close down 20 points.
The FTSE 100 index lost 80 points in early trading before recovering to close down 20 points.
The Bank of England is to keep interest rates at a record low of 0.5% for a further year, and is also taking emergency measures to stop the economy from stalling.  The Bank is cutting its growth forecast for the UK from 1.5% to 0.75% and it is also taking emergency action to help the economy and to protect jobs.
UK banks were allowed to borrow £85 billion in an emergency bond scheme.  The Bank is taking action to ensure the banks can meet their commitments and the government has promised to guarantee £200 billion in mortgage and business loans.
European shares fell sharply as the euro fell and German borrowing",2011,Economy,-600779648.0
"23 July 2011 - abc business news and market analysis, 9:00 am
Today's Business News with Michael Janda and the market analysis with Alan Kohler
23 July 2011 - 9:00 am (ABC news)
Today's Business News and the market analysis with Alan Kohler
ABC News 24 - Monday 25 July 2011
23 July 2011 - ABC News 24
24 hour business news from the ABC",2011,Economy,-260305952.0
"20 December 2011 - abc business news and market analysis
http://abc.net.au/news/2011-12-19/abc-business-news-and-market-analysis/3826548
20 December 2011 - abc business news and market analysis
20 December 2011 - abc business news and market analysis
The Australian dollar has tumbled this morning following strong data out of China, and it looks like the fall has further to go.
A sharp rise in the number of factory jobs created in China has come as a surprise to most economists. The Chinese authorities may not have been too happy to see this number, given the government is trying to reduce growth in the country's economy.
It's a good time to buy the dollar, according to Peter Clark, Head of Fixed Income at Citi Wealth.
""The Australian dollar may be on the cusp of a major reversal. I think it's on its way down. I think it's going to find support around the $US0.79 level.""
And for many Australians, their dollar's are",2011,Economy,-575521920.0
"28 March 2011 - dollar near record market loses ground as Greece bailout fails
The U.S. dollar lost ground on Friday after the European Union failed to agree on a plan to rescue Greece. The euro and most European currencies gained on the news, but investors remain nervous that Greece's problems could spread to other European countries.
The dollar rose 0.1% against the Japanese yen to 86.45 yen. The euro fell 0.2% to $1.4037, a new three-month low.
The euro gained more than 1% against the British pound to 85.60 pence.
Greece's economic woes have been threatening to bring down the country's banking system, and investors are nervous about how that might impact the rest of the eurozone.
""This was a failure in terms of providing any sort of consensus in a crisis situation,"" said Joseph Trevisani, chief market analyst with Worldwide Markets. ""This has caused some more volatility.""
Greece's debt crisis has been threatening to cause a domino effect that",2011,Economy,-594586752.0
"02 November 2011 - local markets open as usual today
Local markets open as usual today. In the North of the country, markets open at 7:30 am. Markets in Central and South of the country open at 7:30 am and 8:30 am respectively. Markets open till 4 pm.",2011,Economy,-187140000.0
"30 November 2011 - gunbalanya market gardens - gilmore, australia - the first of december the gunbalanya community council opened the first gunbalanya market gardens. the gardens have a total area of around 3,300m2 and include a kitchen garden, a vegetable garden and a fruit tree garden. the gardens will be used to produce food for the school canteen and to provide employment and training opportunities for community members. 30 November 2011 - gunbalanya market gardens - gilmore, australia - the first of december the gunbalanya community council opened the first gunbalanya market gardens. the gardens have a total area of around 3,300m2 and include a kitchen garden, a vegetable garden and a fruit tree garden. the gardens will be used to produce food for the school canteen and to provide employment and training opportunities for community members.",2011,Economy,-545390976.0
