Text,Year,Category,Log_Probability
"18 April 2011 - deadline looms for central desert shire by election
The Central Desert shire will be without a council representative after the resignation of Councillor Mick Munnings.
Councillor Munnings will be unable to seek re-election at the upcoming election on 10 July this year, leaving a gaping hole in the local shire.
It’s now up to the Minister for Local Government, John Humphries, to make a decision as to whether a by-election will be held for the shire.
It is likely that the minister will consider the best option for the Central Desert and Central Australia, to retain a local representative at the council table.
The minister has until 18 April to make his decision.
Mick Munnings has served as the Central Desert Shire Council representative for more than 10 years.",2011,Politics,-474524320.0
"09 December 2011 - wa government sinks another 90m into ord expansion
On 09 December 2011, Western Australian Premier and Minister for Police, Colin Barnett announced an additional $90 million in funding for the Metropolitan Redevelopment Authority’s (MRA) Ord Irrigation Area Expansion (OIAE) project.
The funding comes from the State Budget for 2012-13 and will be used for the second stage of the Ord expansion, which will add an additional 100,000 hectares of land to the existing Ord Irrigation Area.
The MRA’s website notes that the additional funding for the Ord expansion follows “strong support” from the Australian and Western Australian governments, and “a positive response from the local farming community”.
Western Australian Minister for Water, John Day, stated that “the new funding will be matched with an equivalent investment from the Commonwealth Government. The OIAE will increase the Ord’s irrigated area by 100,000 hectares, allowing growers to expand their operations.”
In his own announcement, Premier Colin Barnett explained that the Ord Irr",2011,Politics,-590691264.0
"14 May 2011 - 101yo spaniard enters election race as protest
Spain's 101-year-old anarchist Josep Lluis Lladonosa is standing in this month's local elections as an ""anti-system"" candidate.
He was born in Catalonia and is a follower of anarchist Spanish revolutionary Francisco Ferrer, who was hanged for teaching a generation of children to read and write.
Mr Lladonosa has written a manifesto demanding the right to education, the right to live free and the end to social injustice.
Mr Lladonosa is standing in a Spanish town in Barcelona, La Pobla de Segur, and is not seeking elected office.
""I am going to contest the elections to show that there are still people who don't give up and who are against the system,"" he told the El Pais newspaper.
Mr Lladonosa said he had not decided if he would participate in the local government meeting but had the right to attend it as an observer.
""I am going to the polls to defend freedom and not vote for any",2011,Politics,-587622784.0
"22 June 2011 - huntsman enters presidential race, to be nominated by paul.
The Democratic National Committee has decided to select Paul for its 2012 presidential candidate, according to a DNC official. Paul has not yet made a public announcement.
In a statement released by the DNC to reporters, it was revealed that Paul had made a public declaration at his house in Kentucky stating that he will be the Democratic Party's nominee for president in 2012.
Paul was a little late for his announcement as he was held up in traffic.",2011,Politics,-291292960.0
"08 July 2011 - lawyer says change policy for disabled student housing
08 July 2011 - lawyer says change policy for disabled student housing
08 July 2011 - lawyer says change policy for disabled student housing
The law firm representing a 20-year-old deaf student who has lived at an Adelaide campus since she was 13 says the University of South Australia must change the way it houses disabled students.
A report from the Royal Commission into the Protection and Detention of Children found Adelaide Uni had breached the Disability Discrimination Act by excluding disabled students from the residential college system.
The university's executive director of student life says it has already taken steps to resolve the situation.
Student services manager, Andrew Lofthouse, says the university is making a change in how it provides for disabled students.
""The policy is changing to ensure that it's a much more inclusive system so that all disabled students have access to the same support as any other student.""
Andrew Lofthouse says the university is still considering how it will go about it.",2011,Politics,-561505664.0
"23 October 2011 - polls open in historic tunisian elections
This is a historic moment for the people of tunisia.
The first free elections in their country's history are now taking place.
Tunisian voters will be electing a constituent assembly of 217 members to draft a new constitution.
But for many people the outcome of these elections will determine the fate of the entire region.
Tunisia is often described as the canary in the coalmine. The first nation in north africa to launch an uprising.
That uprising began a wave of protests and uprisings across the arab world.
In a region still gripped by conflict, fear and uncertainty, this historic vote has a huge significance.
The constitution they draft will be used to govern the country in the future.
And in a country where a strong central government has been missing for decades, this will be a crucial moment in the development of the nation.
With a long history of political instability, it's no surprise that the country's political landscape is changing rapidly.
And this has created a",2011,Politics,-587138048.0
"10 February 2011 - newman ups pressure on government for flood relief
The Federal Government is coming under increasing pressure from a cross-bench of senators to accept $1 billion for flood recovery, with an announcement expected in the next week.
NSW Senator John Faulkner said it was time for the government to step up to the mark, as many people were still living in disaster areas.
The Australian Greens have put forward a motion to the Senate today calling on the government to commit to a $1 billion flood recovery package, and to make sure that the money is distributed fairly and equitably.
“This money is vital to communities that have been devastated by the floods,” Senator Faulkner said.
“More than 50 per cent of the funding from the Commonwealth flood recovery package so far has gone to New South Wales, and we’re not even done with the floods.”
Senator Bob Brown, the Greens Leader in the Senate, said the motion had bipartisan support.
“From the start, the Greens called for a national recovery package, and the government’s approach has been",2011,Politics,-589645568.0
"06 April 2011 - bush footy gets boost from government grant
02 April 2011 - club gets grant to help young girls play AFL
29 March 2011 - new senior player
27 March 2011 - seniors prepare for final game
25 March 2011 - club's senior night
26 February 2011 - club's seniors win a thriller
23 February 2011 - club's seniors have another good win
21 February 2011 - club's seniors have big win
14 February 2011 - seniors lose to bigger club
13 February 2011 - club's seniors are undefeated for the season
06 February 2011 - club's seniors lose to ladder leaders
02 February 2011 - club's seniors are well beaten
28 January 2011 - club's seniors have good win
26 January 2011 - seniors get a new recruit
18 January 2011 - club's seniors get new recruit
13 January 2011 - club's seniors have good win
06 January 2011",2011,Politics,-599488384.0
"18 November 2011 - kates a close look at the republican presidential line up
I just wanted to get back on the forum to tell you what a great conference it was. The panel with David Broder and Michael Tomasky and your question about the presidential race was outstanding. I don't think I've ever seen so many eyes focused on a question in my life.
I had a chance to speak with Tomasky on the way out. He thought it was a great session. And as he said, it was the first time he's seen the Republicans get a lot of attention in the last presidential debate. And the panel itself was great -- a little tough to get a word in at first, but the two guys on stage are very good.
I had a chance to meet you last night and thank you for your service. I wanted to ask how long you've been in Washington. I'm still amazed that you've been here this long. I don't know how you do it. Do you ever want to go back to California? I love your answer",2011,Politics,-578793664.0
"11 February 2011 - fire destroys government storeroom in Bishkek, Kyrgyzstan
On 11 February 2011, a fire destroyed a two-storey building of the Ministry of Finance in Bishkek.  The fire broke out on the ground floor.  The second floor was completely destroyed and the third floor had 15% damage.  There were 22 offices in the building.  At the time of the fire, the second floor contained records of financial documents of the Kyrgyz government.  There were no reports of fatalities or injuries.
A 15 member team from the US Agency for International Development (USAID) conducted a fire investigation and was able to determine the probable cause of the fire.  The investigation revealed that the fire had started on the ground floor on the west side of the building.  The investigation also found that the fire started on the second floor where a number of offices were located.  The investigation determined that the fire was likely the result of a small fire that started in a cabinet on the",2011,Politics,-585914496.0
"28 December 2011 - local government wants recognition in the new constitution.
The following is a press statement from the National Local Government Association (NALGOA) on the recognition of local government in the new constitution:
On 28 December 2011, the National Local Government Association (NALGOA) will hold a press conference at which it will release a statement on the recognition of local government in the new constitution. This press conference will be held at the National Theatre, Hill Street, Lusaka.
The press conference will begin at 12:30pm on 28 December 2011.
Those in attendance will include Mr. Robert Sichinga, Executive Secretary, NALGOA, Hon. Christopher Yaluma, Minister of Local Government, Hon. Hon. Emmanuel Chabala, Minister of Finance and Hon. Geoffrey Mwamba, Minister of Justice.",2011,Politics,-499599616.0
"31 January 2011 - syrians called to join in anti government protests on 1st feb 2011. the protest was called by the muslim brotherhood and islamist parties, and will be a test to see if they have the political will to support protests. the protest is planned for 1pm in the main squares across the country.
31 January 2011 - syrians called to join in anti government protests on 1st feb 2011. the protest was called by the muslim brotherhood and islamist parties, and will be a test to see if they have the political will to support protests. the protest is planned for 1pm in the main squares across the country.
31 January 2011 - syrians called to join in anti government protests on 1st feb 2011. the protest was called by the muslim brotherhood and islamist parties, and will be a test to see if they have the political will to support protests. the protest is planned for 1pm in the main squares",2011,Politics,-665640128.0
"06 December 2011 - mcmurtrie president newt gingrich and vicky waldron
Vicky and I spent most of the afternoon yesterday, Friday, 2nd December, with Newt and Callista Gingrich, the former being his Chief of Staff when he was Speaker of the House of Representatives from 1995 to 1999. As a result of Vicky's involvement in the Tea Party movement she and I had a number of opportunities to talk with Newt. He has been active in politics since 1969 and has held several offices, and was a very busy man. Vicky was most impressed by the knowledge he displayed concerning many aspects of the workings of the Federal Government.
I was surprised that he was able to provide such a clear overview of how the various Federal Agencies function, but the fact is that he worked closely with the various agencies and was able to learn from them. In his book A Nation Like No Other he has given his perspective of what has made the United States great, in spite of our many weaknesses",2011,Politics,-578658560.0
"14 June 2011 - senate debates nuclear waste dump plan
Sens. Ian Macdonald and John Hogg, both of NSW, move amendments to the Nuclear Fuel Cycle Facilities Amendment Bill 2011. The amendments would require the Federal Government to develop a plan for the final disposal of nuclear waste, as well as to consult with the states. Macdonald says that NSW will not support the plan if it doesn't include plans for final disposal.",2011,Politics,-256212608.0
"31 May 2011 - by election looms for balranald shire councillors
The election for the vacant councillor seat on Balranald Shire Council has been called for Saturday 18 June.
A vacancy was created in January when the former mayor of Balranald, Councillor Peter Jones, resigned after a dispute over a local government pay rise.
Balranald Shire Council has issued a statement regarding the election. The statement can be read in full below:
The Electoral Officer for the 2011 Local Government Election has been advised that a vacancy for the seat of Balranald Ward will be filled by election. The vacancy is caused by the resignation of Councillor Peter Jones on 28 January 2011. The Election date is Saturday 18 June 2011.
This is a Notice to Inform Electors that a by-election has been called and Electors are encouraged to make themselves aware of the candidates and to cast their vote.
The Returning Officer will be available for voting between 8am and 6pm on 18 June 2011",2011,Politics,-610607552.0
"04 November 2011 - government accused of empty offices waste
Government has been accused of wasting tax payers' money on empty offices and a fleet of 60 limousines costing over £1m a year.
An investigation by The Sunday Telegraph also revealed the number of ministers and special advisers with official cars has more than doubled over the past five years.
The paper's investigation was launched after reports of the waste were published in the Daily Telegraph. It found the government had paid £1.14m to run the 60 limousines, costing taxpayers £18,700 a year each.
The cost of running the fleet has increased by a third in just five years, with the figures also showing a 30 per cent rise in the number of cars available.
The report said it was not clear why ministers, including former prime minister Gordon Brown, continued to have cars despite the introduction of chauffeur-driven taxis in 2005.
It also found ministers are wasting £100,000 a year on unused office space at the Foreign Office.
The report",2011,Politics,-585254400.0
"08 April 2011 - anz chief says gillard government weak
THE chief executive of the Australian National Bank, Michael Smith, says the Gillard government has turned the federal budget into ""the biggest deficit budget in history"".
In an interview with the Australian Financial Review, Mr Smith said there was ""no way the budget is back in surplus"" in 2012-13 as the government and Treasury have forecast.
Mr Smith said a cut of 0.75 percentage points to the rate at which banks will pay tax on their profits ""was a very weak policy"".
He said that despite the government's repeated assurances to the contrary, the tax would hit the ""wealthy"" most.
The bank chief's assessment is not a particularly good one for Treasurer Wayne Swan who has promised to be ""tough"" on the budget surplus and deficit.
And the Australian Financial Review's coverage of Mr Smith's comments is far from kind.
The headline on the piece is ""Australia's biggest budget deficit in history, says ANZ CEO"", while the lead paragraph reads: """,2011,Politics,-573841856.0
"24 April 2011 - russian president grooves on the dance floor - http://bit.ly/d8Wf2O
Russian President Grooves On The Dance Floor - http://bit.ly/d8Wf2O
Russian President Grooves On The Dance Floor
Russian President Grooves On The Dance Floor
The president of the Russian Federation Dmitry Medvedev came on stage to make the announcement and his first dance was a traditional dance to a Russian folk song.
Russian President Grooves On The Dance Floor
Russian President Grooves On The Dance Floor
Russian President Dmitry Medvedev showed off his dancing skills on Friday as he presided over a celebration of Moscow's 860th anniversary.",2011,Politics,-391168320.0
"29 May 2011 - bin hammam quits fifa election race
19 May 2011 - fifa lifts ban on 2018 and 2022 world cup votes
17 May 2011 - fifa lifts ban on voting for 2018 and 2022 world cup
16 May 2011 - fifa bans voting for 2018 and 2022 world cup
09 May 2011 - fifa lifts ban on blatter and bin hamman
06 May 2011 - fifa lifts ban on blatter and bin hammam
02 May 2011 - fifa bans sepp blatter and 8 other fifa officials
29 May 2011 - Bin Hammam quits Fifa election race
ZURICH - Qatar's Mohammed Bin Hammam, suspended by football's governing body last week, quit the race for its presidency on Friday.
""I am withdrawing my candidacy for the Fifa presidency. This is my decision to honour the Fifa statutes,"" Bin Hammam said in a statement.
""My",2011,Politics,-610331712.0
"18 February 2011 - sheahan elected mcc president
18 February 2011 - sheahan elected mcc president
On Friday, February 18th, the Mount Carmel College of Nursing celebrated its 101st year with the installation of the 25th President of the College.
Linda Sheahan, PhD, RN, FACHE, FAAN, FCCM, was sworn in as the College’s President by the Honorable Robert H. McNally, Judge of the Court of Common Pleas of Hamilton County.
Following the ceremony, Dr. Sheahan offered this message to the Mount Carmel College of Nursing family:
""Mount Carmel College of Nursing is a world-class institution with a 101-year legacy of excellence. With the tremendous support of our College community and our partner organizations, I am honored to continue the mission and vision of the College, providing quality education, preparing our graduates to become leaders in the profession of nursing and preparing graduates who are prepared to meet the ever-changing needs of the healthcare industry.""
Dr. Sheahan’s",2011,Politics,-593328640.0
"26 September 2011 - interview with former afl club president peter carroll and ex-tasmanian premier paul larson.
27 September 2011 - interview with former afl club president peter carroll and ex-tasmanian premier paul larson.
28 September 2011 - interview with former afl club president peter carroll and ex-tasmanian premier paul larson.
29 September 2011 - interview with former afl club president peter carroll and ex-tasmanian premier paul larson.",2011,Politics,-310541376.0
"05 June 2011 - celebrations as yemen president leaves office
On May 27th, President Ali Abdullah Saleh of Yemen announced he would be resigning. This came after 11 months of protests and nearly 300 deaths. It’s the first Arab Spring nation to remove its leader peacefully.
Now, protesters are taking to the streets, celebrating the removal of President Saleh, and calling for the resignation of his replacement, Vice President Abed Rabbo Mansour Hadi. They want to ensure a smooth transition to democracy.
The U.S. government has been a major supporter of President Saleh and Vice President Hadi. It will be interesting to see how the Obama administration responds to this sudden change in leadership.",2011,Politics,-407674112.0
