Text,Year,Category,Log_Probability
"04 June 2021 - supersonic airliners to return to the skies under new deal
An artist's impression of the new Concorde supersonic airliner. Image: Boom Technology
The United States’ Boom Supersonic has reached a deal with the United States Air Force to fund the development of its supersonic airliner.
The firm, known for its work on supersonic flight, has been developing the XB-1 demonstrator for the past two years. It is now working with the Air Force on a new $1.4bn (£1bn) programme to develop a fully-certified supersonic airliner.
Boom has now signed an agreement with the US Department of Defence that will allow the company to continue development work on the programme with the necessary funds in place. The agreement also gives the US Air Force a seat at the table on the project.
The Air Force has provided Boom with an order for four demonstrator aircraft, and is also paying for the engineering, manufacturing and development of a commercial airliner variant to be sold to airlines.
Boom hopes that the development and",2021,Technology,-604188800.0
"12 January 2021 - exercise emotion mindfulness anxiety ventilatory threshold brain
Mindful breathing and exercise training with mental health professionals
The Mental Health Association of New York City (MHANYC) offers a program called Mindfulness for Mental Health, designed for adults with serious mental illness. The program uses a combination of mindfulness training and evidence-based treatment to address mental health conditions such as depression and anxiety, as well as stress management. The program has been proven to be effective in reducing symptoms of mental illness, improving quality of life, and increasing overall well-being.
The program is delivered by a team of mental health professionals, including licensed social workers, licensed psychologists, and certified yoga instructors. The team works closely with each individual to create a customized treatment plan that is tailored to their specific needs and goals. The program also provides individualized support and guidance to help participants overcome any challenges they may be facing.
The program uses a variety of techniques, including mindfulness meditation, yoga, and cognitive behavioral therapy (CBT). Mindfulness meditation involves focusing on the present moment, allowing participants",2021,Technology,-652325184.0
"10 December 2021 - regular update from abc news for adelaide. read more.
3 December 2021 - regular update from abc news for adelaide. read more.
29 November 2021 - regular update from abc news for adelaide. read more.
26 November 2021 - regular update from abc news for adelaide. read more.
25 November 2021 - regular update from abc news for adelaide. read more.
24 November 2021 - regular update from abc news for adelaide. read more.
20 November 2021 - regular update from abc news for adelaide. read more.
17 November 2021 - regular update from abc news for adelaide. read more.
12 November 2021 - regular update from abc news for adelaide. read more.
9 November 2021 - regular update from abc news for adelaide. read more.
8 November 2021 - regular update from abc news for adelaide. read more.
5 November 2021 - regular update from abc news for adelaide. read more",2021,Technology,-651335936.0
"06 July 2021 - footage contains rare glimpse into early career of gulpililidjulu. (00:29:50)
Treaty rights were recognised as far back as the 1800s, but this recognition was challenged by European colonial powers. Treaty rights continued to be ignored and denied throughout the 1900s. The treaty right of the Martu people was not enforced by the Australian government until 1992 when the government signed the Martu People Treaty. This treaty was signed on the Martu country of Warluwarlu. The treaty was signed to allow the Martu people to control their own land, and to protect the Martu way of life and the Martu people's culture and heritage.
Kulitja Gulpililidjulu is the oldest daughter of the great Aboriginal actor, David Gulpilil. In this footage, she recalls her father's childhood in the 1950s when he was growing up in the Northern Territory. Her father, David Gulpilil, began his career in the 197",2021,Technology,-580137664.0
"08 February 2021 - concerns for australian detained in myanmar sean turnell
Concerns for Australian detained in Myanmar
A former Australian academic detained in Myanmar is being held in poor conditions and has yet to be formally charged, according to his lawyer. Sean Turnell, 55, is the only Australian citizen believed to be in detention in the Southeast Asian nation. He was detained at the request of Myanmar's military and was visiting the country for a research visit when the army seized power on February 1, 2021. Myanmar's military says Mr Turnell is being held under the Unlawful Associations Act for working with a group classified as an ""unlawful association"" by the military government. ""We do not know what the legal status is of the detention,"" said Matthew Nelson, a law professor at Australian National University and Mr Turnell's lawyer. ""What we know for sure is that he's being held in extremely poor conditions, which includes being denied medical care and the ability to speak to his family."" Australian officials are working to secure Mr Turnell",2021,Technology,-608631808.0
"19 July 2021 - entertainment revenue half as streaming services grow
The entertainment industry has been affected by the pandemic, with revenues down 50.7 per cent year on year. Total revenue for Q1 2021 was $5.4bn (£4.1bn), compared to $11bn (£8.7bn) in Q1 2020, with revenue from movies and TV down 50 per cent, and revenue from games down 11 per cent, compared to the same quarter in 2020.
Despite this, revenue from music streaming increased 16 per cent, which was the only area of the industry to increase, with the global average monthly subscription price per user rising 11 per cent. Other streaming services grew 26 per cent, with global revenue from video streaming up 21 per cent and global revenue from audio streaming up 16 per cent. 
Streaming services saw 17 per cent growth year on year, while the revenue from non-streaming video increased 8 per cent, and video games declined 11 per cent",2021,Technology,-606686720.0
"07 January 2021 - why are covid 19 cases surging in thailand?
COVID-19 has been the biggest challenge of the new decade, and while Thailand was initially seen as an outlier in containing the spread of the virus, cases have been increasing since the beginning of November. The country has confirmed over 40,000 cases of COVID-19 to date, with more than 3,600 active cases, including nearly 1,100 infections in the last 14 days. Despite the growing caseload, the government has remained optimistic about Thailand’s ability to contain the virus, but experts say this is not the case. Here are 4 things you should know about Thailand’s COVID-19 situation:
1. What caused the surge in cases?
The increase in cases can be largely attributed to a combination of factors. As the economy began reopening in May, many people returned to their hometowns to visit their families, leading to an increase in the number of cases. In addition, the influx of foreigners and people from abroad increased the risk of importation of new cases",2021,Technology,-614724480.0
"16 February 2021 - tas am headlines test airlie beach
Tasmania's Airline Will Be Flying To Airlie Beach Again. If you’re keen to get out of town and on the water, you’ve come to the right place! With some of the world's most stunning waterways, you'll find that your Tasmanian holiday is more than just a holiday – it's an unforgettable adventure! Airlie Beach is a 90-minute drive from Mackay airport and is accessible via the Bruce Highway. You can catch a bus from Brisbane to Airlie Beach for just $45 one-way. If you’re looking for the best and cheapest flights, book well in advance. Airlie Beach Accommodation. Airlie Beach is an easy flight away from Brisbane, and an even easier drive from Mackay, so it’s easy to get there. In 2003 the Australian Airline Group (AAG) was established. 1001 Island Street, Airlie Beach, QLD, 4802, Australia",2021,Technology,-571905856.0
"22 February 2021 - qld court elizabeth anne turner jailed help son escape murder
Qld Court - Elizabeth Anne Turner Jailed - Help Son Escape Murder - $1,200 a week and free rent - 4 months
Elizabeth Anne Turner Jailed - Help Son Escape Murder - $1,200 a week and free rent - 4 months
Qld Court - Elizabeth Anne Turner Jailed - Help Son Escape Murder - $1,200 a week and free rent - 4 months
ELIZABETH Anne Turner was jailed for 12 months today after being found guilty of helping her son, Daniel, escape a murder charge.
The 62-year-old woman had previously entered a guilty plea to charges of failing to give information that a murder was being committed, perverting the course of justice and helping her son.
Daniel Turner had been charged with murder after the body of 51-year-old Phillip Blyth, who was murdered in June 2017, was found on the side of the road in Chermside.
The body had been wrapped in a",2021,Technology,-604030144.0
"25 May 2021 - hundreds injured in train crash in kuala lumpur
29 April 2021 - 1 killed, 14 injured in train derailment in terengganu
30 March 2021 - 9 injured in train derailment in penang
28 January 2021 - 8 killed, 7 injured in train collision in perak
13 November 2020 - 1 killed, 4 injured in train collision in perak
10 August 2020 - 2 killed, 1 injured in train derailment in terengganu
9 August 2020 - 8 killed, 22 injured in train derailment in pahang
14 July 2020 - 8 injured in train derailment in selangor
14 April 2020 - 4 killed, 13 injured in train derailment in perak
30 January 2020 - 2 killed, 2 injured in train derailment in selangor
16 December 2019 - 5 killed, 23 injured",2021,Technology,-632669504.0
"11 March 2021 - endangered spotted tail quolls discovered in logan
A 2,200 square kilometre conservation plan to protect the habitat of the endangered spotted tail quoll has been approved in Logan City Council.
The plan, which was prepared by Logan City Council and the Department of Environment and Science in partnership with Traditional Owners, has been welcomed by Logan MP and Minister for Environment and the Great Barrier Reef Meaghan Scanlon.
“Conserving the spotted tail quoll is crucial to our efforts to reverse the decline of native wildlife and protect our unique ecosystems,” Ms Scanlon said.
“Over the past decade the spotted tail quoll has declined by 80 per cent, with less than 60 individuals thought to remain in the wild.
“Through this plan we aim to restore quoll habitat, improve our knowledge of the quoll and its distribution, and help to reverse the decline of the species.
“This plan is important for a whole range of reasons – including the species itself, the unique and sensitive habitats it lives in and the cultural significance of the quoll",2021,Technology,-605768704.0
