Text,Year,Log_Probability
"06 June 2011 - crawley to join bennetts coaching staff at the vikings
WELLINGTON: Ben Crawley, the New Zealand sevens international has joined the New Zealand Vikings coaching staff.
Crawley was a member of the 2006 World Series Sevens Championship winning team in Hong Kong. He has also won the gold medal at the 2008 World Cup Sevens in South Africa and at the 2009 Commonwealth Games in New Delhi, India.
He played for the Canterbury provincial team and was also a member of the All Blacks Sevens team in the 2008 and 2010 Rugby World Cup Sevens.
Vikings coach, Sean Wainui, says Crawley brings great experience to the coaching staff.
""We are delighted to have Ben on board. His experience at sevens will be a huge asset to our coaches and the team. We are really looking forward to his input.""",2011,-524806656.0
"23 April 2011 - boss salutes on superstar hay list
Budding star Hay List and his connections are in for a massive treat on Saturday when the superstar sprinter makes his long awaited return to the track.
The 2009 Golden Slipper winner has been on the sidelines since breaking down at Moonee Valley last October and has not been seen on the track since.
He will make his comeback at Flemington in the Group 3 Blue Diamond Prelude (1100m).
""He'll have three trials under his belt, we're all looking forward to it and we hope to come home on the first Saturday in May (Caulfield Cup day),"" trainer Darren Weir said.
""The way the horse has trialled has been sensational.""
The son of Testa Rossa has won 12 of his 21 starts with a further three placings.
He won the Golden Slipper at the age of two and was a $4.20 chance to win the $5 million Melbourne Cup in 2009.
Weir said it was too soon",2011,-583880448.0
"28 November 2011 - bushrangers vs tigers one day summary
Bushrangers 6/192 (20 overs) defeated by 2 runs
Tigers 10/190 (20 overs)
Tigers innings
Wade 45, White 41
Klinger 31, Wade 29, White 16, Wade 12, White 11, White 5, Klinger 5, Wade 1, Wade 0
Bushrangers innings
Harris 42, White 36, Harris 22, Harris 20, Harris 13, Harris 3, Hauritz 2, Harris 1, Hauritz 1, White 1, Hauritz 1
Tigers - 4/1 (0.4 overs) - Wicket - Harris
Tigers - 2/1 (1.1 overs) - Wicket - Hauritz
Tigers - 3/1 (1.2 overs) - Wicket - Wade
Tigers - 5/",2011,-607457536.0
"23 September 2011 - copeland sets sights on south africa
copeland sets sights on south africa
Duncan Copeland, the former Durham captain who is now in charge of England's academy, has set his sights on the South African tour as a chance to ""make the squad"".
Duncan Copeland, the former Durham captain who is now in charge of England's academy, has set his sights on the South African tour as a chance to ""make the squad"".
The tour, which will take in four Tests, two one-day internationals and two Twenty20 games, will take place next February and March. The England Test team for the first Test at Newlands is likely to be announced on November 9 and Copeland said: ""It will be a massive step forward to be involved.
""I don't think I'm too far off. I need to make a good impression but if I do, I'll be going. But the only way to make a good impression is to get there.""
England's coaching team, which includes Duncan Fletcher",2011,-603655808.0
"22 March 2011 - concerns evictions could increase homelessness.
26 March 2011 - concerns new plans will increase rents.
26 March 2011 - concerns that rents will increase and that tenants' rights will be weakened.
22 March 2011 - opposes the proposed eviction scheme.
15 March 2011 - opposes the introduction of a 90-day eviction scheme.
9 March 2011 - supports the introduction of the 90-day eviction scheme.
2 March 2011 - concerns over the introduction of a 90-day eviction scheme.
2 March 2011 - supports the introduction of a 90-day eviction scheme.
2 March 2011 - supports the introduction of a 90-day eviction scheme.
1 March 2011 - supports the introduction of a 90-day eviction scheme.
1 March 2011 - supports the introduction of a 90-day eviction scheme.
26 February 2011 - opposes the introduction of a 90-day eviction scheme.
25 February 2011 - opposes the introduction of a 90-day eviction scheme.
",2011,-611589632.0
"23 August 2011 - gaddafis son leads regime fightback
Muammar Gaddafi’s son Seif al-Islam, has told supporters in Tripoli, that the “rebellion” is doomed and that Gaddafi will lead the nation “with the sword and the pistol” as he launched the final push to end the uprising that has left hundreds dead.
Seif’s speech comes after the rebel advance on Tripoli halted at a bridge over a river west of the city, where loyalist troops were preparing to launch a counter-offensive.
In a televised address on the first anniversary of the revolt against Gaddafi, Seif said: “The war between the revolution and the rats will be the last war in Libya. They will be the last to be defeated and the last to die.
“The rebels, you will be the last to be destroyed. The revolution will be victorious. The blood of the martyrs will be written in the sky as an eternal victory over the rats.”
“Gaddafi will be in Tripoli and will be there with the",2011,-588211712.0
"03 November 2011 - new shire president outlines mining talks
New Esperance Shire president Barry Hedges has said he will meet with miners and residents to discuss a resolution to the mining dispute in the area. 
""I'm very much aware of the community's view and I'm going to meet with all interested parties,"" Mr Hedges said. 
""There's a strong mining industry and there's a strong community, but they both need to be protected. I think there's room for both to grow.""
Mr Hedges said the council would take a measured approach to the negotiations, which he will begin this week.
""We will listen to the concerns of the community and make sure there is a balance in the development of the shire, and then decide where we go from there,"" he said.
""We will take into account the view of the community, we will listen to the view of the miners and we will take into account the council's views on the best way to develop the area.""
Mr Hedges said the council had been approached by a number of",2011,-587504512.0
"08 January 2011 - interview andrew strauss
Andrew Strauss is one of the most experienced captains in world cricket, having led the England cricket team for 38 tests. Having just retired, Strauss recently spoke to Matt Dickinson on BBC Radio 5 Live to discuss his career, England's future and his hopes for the England cricket team to become the best in the world.
Matt Dickinson : How do you feel? What are your immediate feelings?
Andrew Strauss : I feel very proud, it's been a privilege to captain the England cricket team for the last four and a half years. It's been an emotional day and I'm just feeling very proud and very lucky to have had the opportunity to captain the England team. There is still a lot to do, but it is time for me to move on. I'm looking forward to my future now and I'm going to try and spend as much time as I can with my young family.
MD : Do you feel any sense of achievement as a player to look back on in your career?
AS",2011,-592413440.0
"12 July 2011 - protesters bermagui entrance under threat
After 6 years of continuous, and often illegal, protests in and around the village of Bermagui (on the South Coast of NSW, Australia) the future of this community is once again under threat.
In April 2010, the owners of the local water supply dam, the Bermagui Dams Ltd, sold their 80% stake in the dam to the Water Corporation, an Australian Government funded water corporation. With this change of ownership, and a lack of transparency in the management of the project, the community was presented with a fait accompli, and the issue has now become one of community trust.
In an attempt to force the Water Corporation to hold public consultation, a group of local residents and other concerned parties, has called a public meeting at Bermagui High School on Wednesday, July 13th, 2011, from 6:30pm to 8:30pm.
The Water Corporation will be presenting its case in front of the local community,",2011,-581413248.0
"25 September 2011 - putin to run for president again?
The news agencies in Russia are reporting that Vladimir Putin intends to run for president again in 2012. Putin was elected president in 2000, re-elected in 2004 and in 2008 he was elected prime minister and Dmitri Medvedev became president. Medvedev was elected to a second term as president in 2012, and there have been suggestions that he will resign, allowing Putin to step up and become president again. The elections for the State Duma are scheduled for December 4. Putin is now 58, and the constitution restricts a president to two terms.
Posted by John Lister at Tuesday, September 27, 2011",2011,-430091872.0
